Año,Egresos
2004,248235
2005,248169
2006,278142
2007,299953
2008,315315
2009,310591
2010,312079
2011,312854
2012,335028
2013,376203
2014,387397
2015,462223
2016,464848
2017,445873
2018,464330
2019,442149
2020,373379
2021,413087
2022,468597
