Año,Gasto USD
2004,34372500000.0
2005,34437200000.0
2006,38459500000.0
2007,41664500000.0
2008,45615700000.0
2009,47426100000.0
2010,50059300000.0
2011,55559300000.0
2012,60424000000.0
2013,63834000000.0
2014,61812600000.0
2015,67337899999.99999
2016,69397600000.0
2017,68931300000.0
2018,69797400000.0
2019,70659700000.0
2020,81600600000.0
2021,82372200000.0
2022,94008300000.0
