Año,Llegadas de turistas
2019,45024000
2018,41313000
2017,39291000
2016,35079000
2015,32093000
2014,29346000
2013,24151000
2012,23403000
2011,23403000
2010,23290000
2009,22346000
2008,22931000
2007,21606000
2006,21353000
2005,21915000
,
